d01p1:     8.044µs
d01p2:    14.174µs
d02p1:    69.325µs
d02p2:    62.574µs
d03p1:     9.731µs
d03p2:    12.404µs
d04p1:    58.378µs
d04p2:    60.857µs
d05p1:    34.143µs
d05p2:    48.556µs
d06p1:    69.318µs
d06p2:    67.241µs
d07p1:   334.260µs
d07p2:   221.510µs
d08p1:    20.763µs
d08p2:   453.790µs
d09p1:    25.248µs
d09p2:    63.187µs
d10p1:     2.116µs
d10p2:     8.987µs
d11p1:  5263.700µs
d11p2: 13466.000µs
d12p1:    18.038µs
d12p2:    18.039µs
d13p1:     1.027µs
d13p2:     1.254µs
d14p1:    46.705µs
d14p2:  6473.500µs
d15p1:     4.001µs
d15p2:444270.000µs
d16p1:    80.519µs
d16p2:   794.680µs
d17p1:   390.800µs
d17p2: 10091.000µs
d18p1:   177.360µs
d18p2:   182.710µs
d19p1:  4418.900µs
d19p2: 40253.000µs
d20p1:   134.330µs
d20p2:   708.130µs
d21p1:   203.720µs
d21p2:   168.040µs
d22p1:     8.860µs
d22p2: 44157.000µs
d23p1:     0.854µs
d23p2:151710.000µs
d24p1:   182.200µs
d24p2: 14001.000µs
d25p1: 48530.000µs

All of 2020: 843.61ms
