d01p1:    61.201µs
d01p2:    62.506µs
d02p1:    58.022µs
d02p2:    58.105µs
d16p1:  2872.400µs
d16p2:>99999.999µs (~700ms?)
d17p1:   190.370µs
d17p2: 14716.000µs
d18p1:   422.630µs
d18p2:  1512.000µs
d19p1:>99999.999µs (~600ms?)
d19p2:>99999.999µs (~2000ms?)
d20p1: 45705.000µs
d20p2:>99999.999µs (~500ms?)
d21p1:   390.200µs
d21p2:  1056.400µs
d22p1:  9362.200µs
d22p2:   735.980µs
d23p1:   373.090µs
d23p2: 41288.000µs
d24p1: 21000.000µs
d24p2: 60354.000µs
d25p1:     4.530µs

Worst: 16.2, 19.1, 19.2, 20.2

All of 2022: 
